Year,Jury or Televoting,From country,To country,Points
1975,J,Belgium,Finland,0
1975,J,Belgium,France,2
1975,J,Belgium,Germany,0
1975,J,Belgium,Ireland,12
1975,J,Belgium,Israel,1
1975,J,Belgium,Italy,6
1975,J,Belgium,Luxembourg,0
1975,J,Belgium,Malta,7
1975,J,Belgium,Monaco,0
1975,J,Belgium,Norway,0
1975,J,Belgium,Portugal,0
1975,J,Belgium,Spain,4
1975,J,Belgium,Sweden,0
1975,J,Belgium,Switzerland,8
1975,J,Belgium,The Netherlands,3
1975,J,Belgium,Turkey,0
1975,J,Belgium,United Kingdom,10
1975,J,Belgium,Yugoslavia,5
1975,J,Finland,Belgium,0
1975,J,Finland,France,0
1975,J,Finland,Germany,0
1975,J,Finland,Ireland,1
1975,J,Finland,Israel,3
1975,J,Finland,Italy,12
1975,J,Finland,Luxembourg,5
1975,J,Finland,Malta,0
1975,J,Finland,Monaco,2
1975,J,Finland,Norway,0
1975,J,Finland,Portugal,0
1975,J,Finland,Spain,8
1975,J,Finland,Sweden,6
1975,J,Finland,Switzerland,4
1975,J,Finland,The Netherlands,10
1975,J,Finland,Turkey,0
1975,J,Finland,United Kingdom,7
1975,J,Finland,Yugoslavia,0
1975,J,France,Belgium,0
1975,J,France,Finland,0
1975,J,France,Germany,0
1975,J,France,Ireland,6
1975,J,France,Israel,1
1975,J,France,Italy,4
1975,J,France,Luxembourg,3
1975,J,France,Malta,8
1975,J,France,Monaco,0
1975,J,France,Norway,0
1975,J,France,Portugal,2
1975,J,France,Spain,0
1975,J,France,Sweden,7
1975,J,France,Switzerland,10
1975,J,France,The Netherlands,5
1975,J,France,Turkey,0
1975,J,France,United Kingdom,12
1975,J,France,Yugoslavia,0
1975,J,Germany,Belgium,7
1975,J,Germany,Finland,12
1975,J,Germany,France,0
1975,J,Germany,Ireland,0
1975,J,Germany,Israel,1
1975,J,Germany,Italy,4
1975,J,Germany,Luxembourg,0
1975,J,Germany,Malta,0
1975,J,Germany,Monaco,3
1975,J,Germany,Norway,0
1975,J,Germany,Portugal,0
1975,J,Germany,Spain,5
1975,J,Germany,Sweden,0
1975,J,Germany,Switzerland,6
1975,J,Germany,The Netherlands,8
1975,J,Germany,Turkey,0
1975,J,Germany,United Kingdom,10
1975,J,Germany,Yugoslavia,2
1975,J,Ireland,Belgium,0
1975,J,Ireland,Finland,5
1975,J,Ireland,France,12
1975,J,Ireland,Germany,0
1975,J,Ireland,Israel,1
1975,J,Ireland,Italy,6
1975,J,Ireland,Luxembourg,10
1975,J,Ireland,Malta,0
1975,J,Ireland,Monaco,0
1975,J,Ireland,Norway,0
1975,J,Ireland,Portugal,0
1975,J,Ireland,Spain,7
1975,J,Ireland,Sweden,0
1975,J,Ireland,Switzerland,2
1975,J,Ireland,The Netherlands,8
1975,J,Ireland,Turkey,0
1975,J,Ireland,United Kingdom,3
1975,J,Ireland,Yugoslavia,4
1975,J,Israel,Belgium,0
1975,J,Israel,Finland,8
1975,J,Israel,France,7
1975,J,Israel,Germany,0
1975,J,Israel,Ireland,0
1975,J,Israel,Italy,5
1975,J,Israel,Luxembourg,6
1975,J,Israel,Malta,1
1975,J,Israel,Monaco,2
1975,J,Israel,Norway,0
1975,J,Israel,Portugal,0
1975,J,Israel,Spain,4
1975,J,Israel,Sweden,3
1975,J,Israel,Switzerland,0
1975,J,Israel,The Netherlands,12
1975,J,Israel,Turkey,0
1975,J,Israel,United Kingdom,10
1975,J,Israel,Yugoslavia,0
1975,J,Italy,Belgium,0
1975,J,Italy,Finland,0
1975,J,Italy,France,8
1975,J,Italy,Germany,0
1975,J,Italy,Ireland,4
1975,J,Italy,Israel,2
1975,J,Italy,Luxembourg,10
1975,J,Italy,Malta,0
1975,J,Italy,Monaco,5
1975,J,Italy,Norway,7
1975,J,Italy,Portugal,0
1975,J,Italy,Spain,6
1975,J,Italy,Sweden,0
1975,J,Italy,Switzerland,12
1975,J,Italy,The Netherlands,1
1975,J,Italy,Turkey,0
1975,J,Italy,United Kingdom,3
1975,J,Italy,Yugoslavia,0
1975,J,Luxembourg,Belgium,0
1975,J,Luxembourg,Finland,6
1975,J,Luxembourg,France,0
1975,J,Luxembourg,Germany,8
1975,J,Luxembourg,Ireland,0
1975,J,Luxembourg,Israel,1
1975,J,Luxembourg,Italy,3
1975,J,Luxembourg,Malta,5
1975,J,Luxembourg,Monaco,4
1975,J,Luxembourg,Norway,0
1975,J,Luxembourg,Portugal,0
1975,J,Luxembourg,Spain,0
1975,J,Luxembourg,Sweden,7
1975,J,Luxembourg,Switzerland,2
1975,J,Luxembourg,The Netherlands,10
1975,J,Luxembourg,Turkey,0
1975,J,Luxembourg,United Kingdom,12
1975,J,Luxembourg,Yugoslavia,0
1975,J,Malta,Belgium,0
1975,J,Malta,Finland,0
1975,J,Malta,France,7
1975,J,Malta,Germany,3
1975,J,Malta,Ireland,4
1975,J,Malta,Israel,0
1975,J,Malta,Italy,10
1975,J,Malta,Luxembourg,5
1975,J,Malta,Monaco,1
1975,J,Malta,Norway,0
1975,J,Malta,Portugal,0
1975,J,Malta,Spain,0
1975,J,Malta,Sweden,2
1975,J,Malta,Switzerland,6
1975,J,Malta,The Netherlands,12
1975,J,Malta,Turkey,0
1975,J,Malta,United Kingdom,8
1975,J,Malta,Yugoslavia,0
1975,J,Monaco,Belgium,0
1975,J,Monaco,Finland,8
1975,J,Monaco,France,7
1975,J,Monaco,Germany,0
1975,J,Monaco,Ireland,0
1975,J,Monaco,Israel,0
1975,J,Monaco,Italy,1
1975,J,Monaco,Luxembourg,0
1975,J,Monaco,Malta,0
1975,J,Monaco,Norway,2
1975,J,Monaco,Portugal,0
1975,J,Monaco,Spain,4
1975,J,Monaco,Sweden,6
1975,J,Monaco,Switzerland,5
1975,J,Monaco,The Netherlands,10
1975,J,Monaco,Turkey,3
1975,J,Monaco,United Kingdom,12
1975,J,Monaco,Yugoslavia,0
